,segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max
0,L23_S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L23_S1,19400.0,661418.4536082475,3698915.3608247424,425.94329896907215,659.6855670103092,946.1701030927835,1236.840206185567,0.45388488817153516,0.03521619720856141,0.5962208527879617,0.6772663243038138,0.06052017814933428,0.26801757778511526,30.15593147277832,21.159865025392513,0.10373054245083603,176.89690721649484,144.0,207.0
2,L23_S2,15800.0,661584.8734177215,3698862.658227848,439.88607594936707,684.5253164556962,954.379746835443,1538.2025316455697,0.5275130162510691,-0.0069148914499467685,0.604896511835388,0.6929303792458547,0.04360081220658708,0.3534446197644442,35.095001220703125,23.050512090513976,0.10473875538740732,167.3987341772152,130.0,199.0
3,L23_S3,16800.0,661696.7261904762,3698928.8095238097,563.2380952380952,750.9642857142857,1007.297619047619,1471.3511904761904,0.4407779541576192,-0.041475074382712286,0.5963058269449643,0.7738333355103221,0.053325894521549344,0.3055767810105213,36.25959396362305,20.889299756004696,0.1272162553366451,125.33333333333333,99.0,173.0
4,L23_S4,12700.0,661830.1968503937,3698907.3622047245,877.503937007874,954.3149606299213,1165.4881889763778,1519.1259842519685,0.2456693665718469,-0.2738926619452637,0.44730981984945734,0.9991023643748966,0.259846277366297,0.18914690512364482,31.038129806518555,12.556077191210168,0.1519016455712281,106.66141732283465,101.0,118.0
5,L23_S5,20000.0,661954.95,3698937.35,587.05,823.305,1036.495,2612.2,0.6277180850505829,-0.17010763945057988,0.612976064234972,0.8156166657805443,-0.015441587631697474,0.514495737105608,41.463417053222656,33.32579788208008,0.11095196408219636,156.68,108.0,220.0
6,L23_S6,16900.0,662093.1656804733,3698914.408284024,535.8165680473372,821.4792899408284,1006.9349112426036,3013.201183431953,0.6967563803732042,-0.16160272293277747,0.6028459294307866,0.7880769227383405,-0.03451490002276497,0.5697527113398151,44.17060470581055,34.23250121618869,0.09026488333323299,189.50295857988166,121.0,243.0
7,L23_S7,21300.0,662185.7511737089,3698876.220657277,623.4976525821596,869.6713615023474,1042.469483568075,2827.089201877934,0.6062095955783773,-0.09111497427026431,0.6396520752022524,0.8452128342619525,-0.04990690733424165,0.4970748747388522,40.043949127197266,29.37718441116978,0.09352384364241166,182.35211267605635,126.0,243.0
8,L23_S8,8100.0,662307.3456790124,3698965.7407407407,515.5802469135803,813.2222222222222,999.5185185185185,2979.9506172839506,0.7031601947030903,-0.13998896922962165,0.6096487567748552,0.7761069985083592,-0.03999558488987846,0.5690148973170622,40.193275451660156,26.84403670275653,0.0563034214263345,233.45679012345678,206.0,248.0
9,L23_S9,9700.0,662435.412371134,3698946.3402061854,494.2061855670103,750.8247422680413,980.6288659793814,2269.938144329897,0.6163082236481696,-0.05840578893956675,0.6404413347391739,0.7418865960897859,-0.017817803859121416,0.47131672639822225,40.193275451660156,24.188346754644336,0.07398045180154215,210.4536082474227,177.0,234.0
10,L23_S10,11400.0,662556.1403508772,3698939.298245614,445.46491228070175,708.2017543859649,959.9912280701755,1757.9561403508771,0.5857375787015546,-0.05483753689319807,0.6061524712202842,0.7045526295377497,0.005109216514954409,0.41387799565206496,28.94799041748047,16.392210236766882,0.06631321656076532,234.1140350877193,203.0,257.0
11,L23_S11,10500.0,662758.9047619047,3698966.0476190476,475.44761904761907,726.5714285714286,966.3619047619047,2001.990476190476,0.5943767595858801,-0.03199986030177526,0.6350927869478862,0.7227936511947995,-0.013146332311277677,0.44318593783038,26.308712005615234,17.60623025894165,0.09996152385359719,263.9428571428571,241.0,284.0
12,L23_S12,28200.0,662975.390070922,3698933.5460992907,438.7163120567376,696.3191489361702,945.1914893617021,1813.4113475177305,0.5890813237386392,-0.0680262353210355,0.6057782179497658,0.6934089852985761,0.012787453484350356,0.421398992815339,27.330747604370117,17.527554890788192,0.08385131058963478,306.28014184397165,259.0,359.0
13,L23_S13,27900.0,663169.5161290322,3698899.0860215053,449.4336917562724,691.6881720430108,945.6415770609319,1788.910394265233,0.5505193169612611,0.008773639344499283,0.6390434847510417,0.6955878140678543,0.01979187922393148,0.3887913872109806,35.31513595581055,23.450103910165875,0.10008242313740073,358.9641577060932,301.0,403.0
14,L23_S14,297400.0,663582.7437794217,3698695.2824478815,443.17753866846,693.0625420309348,938.9327505043713,1868.934431741762,0.5941939656475526,-0.08284118907790575,0.6054236150842107,0.6917242767951917,0.016163221691916738,0.43309559442479323,43.346458435058594,18.46978491612866,0.07385565486386489,371.57330195023536,286.0,428.0
15,L23_S15,10900.0,663384.6330275229,3698945.2752293576,446.2110091743119,668.2018348623853,938.1284403669724,1377.3302752293578,0.4945532936568654,0.11292562492345588,0.6617020745889857,0.6841804286755553,0.04029553434834228,0.3294462681226774,25.492023468017578,19.94640719999961,0.10031790361491912,403.9724770642202,380.0,422.0
16,L23_S16,300.0,663625.0,3698985.0,414.0,619.3333333333334,945.3333333333334,571.6666666666666,0.1592716028292974,0.034104197596510254,0.3312167425950368,0.6595555543899536,0.2887907922267914,-0.040595219315340124,12.814311027526855,7.75764274597168,0.18978490432103476,368.6666666666667,368.0,369.0
17,L23_S17,19700.0,663824.4923857868,3698919.4162436547,439.1928934010152,682.7664974619289,938.7208121827412,1702.4263959390862,0.5594725657235547,-0.06661207451550692,0.585168653030686,0.6868934023198743,0.04250653499372772,0.3917508594275731,33.27968215942383,20.932896042838316,0.10288123725937103,337.61928934010155,297.0,375.0
18,L23_S18,88100.0,664165.3178206583,3698824.398410897,422.52780930760497,666.7309875141884,927.261066969353,1660.0340522133938,0.5734178691290565,-0.058565399933282115,0.6030998651475289,0.6721732873516104,0.03876035369892522,0.40364579473269063,31.437355041503906,17.381641477786182,0.08589355317531122,312.17253121452893,262.0,350.0
