,segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max
0,L56_S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L56_S1,16700.0,730273.9221556886,5331473.682634731,332.4491017964072,552.5449101796407,698.065868263473,1461.1916167664672,0.6252889601056447,0.10795440719167362,0.43970308011163495,0.5276866273251836,-0.1564089691121421,0.44545559379868876,37.44559097290039,30.788070141912222,0.03458228740774229,794.6646706586827,757.0,838.0
2,L56_S2,10100.0,730484.207920792,5331425.0,344.9207920792079,554.1584158415842,702.4554455445544,1402.2673267326732,0.5998758647111383,0.02992678804341519,0.47220924762215943,0.5338448846694266,-0.18153422768458283,0.42160123925988036,31.606298446655273,20.345833721727427,0.04439315358453458,828.8910891089109,784.0,868.0
3,L56_S3,10400.0,730585.6730769231,5331475.865384615,329.5480769230769,552.0,692.0192307692307,1438.548076923077,0.6204840523692278,0.045173615386794645,0.41403292033534783,0.5245224349200726,-0.16644947087535492,0.43313890451995224,38.16197204589844,23.11639974667476,0.03780791093595326,821.1346153846154,761.0,844.0
4,L56_S4,23900.0,730726.4225941423,5331447.677824268,351.673640167364,583.3807531380753,710.0753138075314,1746.9874476987447,0.6623184720841412,0.05118996692491621,0.4409966088488511,0.5483765709350299,-0.17882159511289836,0.4956976795046898,39.47951889038086,32.350420840115724,0.03094758264813962,745.5690376569038,654.0,843.0
5,L56_S5,23600.0,730985.6779661017,5331437.711864407,364.56779661016947,589.0762711864406,719.271186440678,1547.3093220338983,0.6195131872417563,0.04288535008080066,0.38939213582267196,0.5576384192553617,-0.16786972569080733,0.44721712967601873,37.94595718383789,29.174897888959464,0.047799157965296914,671.8728813559322,599.0,723.0
6,L56_S6,10900.0,731107.8440366973,5331454.0825688075,436.89908256880733,627.3302752293578,756.5137614678899,1539.8165137614678,0.5581052073644935,0.09312349872518365,0.45992760565302787,0.6069143715254758,-0.21162392896249754,0.4182292778010762,44.732295989990234,33.9231982799845,0.08084491664253243,626.1284403669724,559.0,679.0
7,L56_S7,2200.0,731174.5454545454,5331488.181818182,880.0454545454545,920.3636363636364,977.9090909090909,1870.7727272727273,0.3797697350382805,0.2585436395284804,0.693592063405297,0.9261060709303076,-0.5298137475143779,0.3476666659116745,44.732295989990234,37.88553168556907,0.1238936676897786,576.5454545454545,545.0,602.0
8,L56_S8,9800.0,731229.4897959183,5331448.265306123,405.5612244897959,592.2755102040817,741.530612244898,1369.2448979591836,0.5431972805942807,0.094404596873388,0.4403944368265113,0.5797891142416973,-0.17684129344261423,0.39388192764350344,41.71422576904297,37.084577579887544,0.10439909454815242,583.204081632653,545.0,640.0
9,L56_S9,21600.0,731333.9814814815,5331409.398148148,421.81018518518516,625.9814814814815,753.4212962962963,1546.5092592592594,0.5770542691979144,0.06128651735747957,0.41291316957385454,0.6004043224233168,-0.1923612511406342,0.4247642616154971,38.55059814453125,31.273612366782295,0.07449387864175218,589.1203703703703,524.0,641.0
10,L56_S10,8000.0,731413.125,5331455.625,325.225,553.4875,703.15,1477.4875,0.637823773175478,0.022248096214025282,0.4045067746192217,0.5272875033318997,-0.15495536755770445,0.45249688625335693,32.812538146972656,28.147672724723815,0.046282327338121834,550.4125,516.0,585.0
