,segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max
0,L26_S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L26_S1,16500.0,665968.7575757576,3699911.1818181816,447.91515151515154,826.8181818181819,862.5090909090909,2992.8727272727274,0.7377743739070315,-0.02311134218643102,0.3138191455241406,0.712414140773542,0.07560307410630313,0.5647047022978465,47.25795364379883,26.44130633961071,0.042287599199423286,240.24848484848485,208.0,281.0
2,L26_S2,17400.0,666125.5172413794,3699940.114942529,388.6896551724138,747.551724137931,811.7126436781609,3186.7183908045977,0.7792706088773136,-0.12879804058680203,0.268519126392644,0.649318009272389,0.14539978439095377,0.6153405373808981,36.978824615478516,26.25330960065469,0.048077535066196976,254.20114942528735,217.0,294.0
3,L26_S3,119800.0,666312.6711185309,3699758.0300500835,417.47996661101837,779.9181969949916,839.9215358931552,2612.2086811352256,0.723211719018589,-0.04007620584269138,0.3125050413315006,0.67910656726022,0.12526343669013534,0.5369402617962412,43.79535675048828,23.029213685225166,0.025544639909251255,303.3005008347245,224.0,381.0
4,L26_S4,9200.0,666450.9782608695,3699940.0,401.17391304347825,767.554347826087,832.2934782608696,2592.586956521739,0.7301251389410185,-0.17630476326398228,0.1642461006084214,0.6670072486867076,0.7841178055690683,0.5408738112967947,35.55091857910156,26.27055159859035,0.023130863641753145,279.17391304347825,250.0,324.0
5,L26_S5,10900.0,666546.1926605505,3699908.4862385322,405.51376146788994,755.4311926605504,830.6788990825688,2364.6422018348626,0.705961157422547,-0.2601177390288869,0.060462506759245326,0.6638746185040255,1.8201200584752844,0.514470678130421,28.91144371032715,20.581084382643393,0.022526052378869933,307.0,272.0,346.0
6,L26_S6,3572600.0,668246.5036667973,3699388.7566478197,422.1336841515983,778.6657616301853,822.9686782735263,2640.00990874993,0.7199237624989647,-0.033052416363252436,-0.0021559671768416945,0.6745893750253199,0.19508764571027207,0.5385241779151889,47.13432312011719,22.230937635623974,0.04188887475666406,540.2201198007053,286.0,716.0
7,L26_S7,13700.0,670087.5547445256,3699945.0729927006,417.4963503649635,789.9197080291971,826.6934306569343,2640.875912408759,0.7252015762955603,-0.22964967384825657,0.10151124667430664,0.6780364970221137,1.3366323500654123,0.5377260213785798,31.593791961669922,21.806194221886404,0.020106876527305938,582.4379562043796,561.0,599.0
8,L26_S8,9500.0,670273.6315789474,3699918.8947368423,399.10526315789474,724.0947368421052,794.2526315789473,2129.705263157895,0.6828239189951043,-0.20976175548214662,0.06347571688851243,0.6391508773753517,1.1533506474996869,0.49033576218705427,38.498329162597656,21.84422109503495,0.03583815435045644,616.6631578947369,574.0,652.0
9,L26_S9,17900.0,670412.2067039106,3699937.346368715,421.4804469273743,689.5977653631285,787.1396648044692,1803.854748603352,0.6187729076300253,-0.13972458663375725,0.15394237904689748,0.6327392918437553,1.2680006693195365,0.4431376745247974,32.480377197265625,18.537458126771384,0.05258684422217268,657.8379888268156,591.0,693.0
