,segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max
1290,L58_S1290,18500.0,735866.2972972973,5322761.540540541,378.8054054054054,608.0432432432433,756.3567567567568,1945.2378378378378,0.6384742276088612,0.21925248283439794,0.5292127838005891,0.5810684695437148,-0.11373008378919817,0.4768121255662393,45.41456604003906,23.21963217322891,0.12529689475289874,131.82162162162163,103.0,179.0
1291,L58_S1291,14300.0,736209.4055944056,5322775.0,371.1188811188811,600.993006993007,755.3706293706293,1849.6503496503497,0.647189959571078,0.26187724896244235,0.5113281003245107,0.5758275087479945,-0.0690811832005588,0.48429406221982063,36.37538146972656,18.98660945892334,0.06454260472755333,128.55244755244755,97.0,158.0
1292,L58_S1292,600.0,736315.0,5322860.0,619.8333333333334,835.6666666666666,915.1666666666666,1701.5,0.4688921868801117,0.3921530445416768,0.6234647432963053,0.7902222275733948,-0.2818089500069618,0.3424951086441676,34.165706634521484,30.83675765991211,0.06491587497293949,114.33333333333333,111.0,121.0
1293,L58_S1293,22500.0,737261.8,5322697.933333334,857.9955555555556,1161.6933333333334,1270.5333333333333,865.8444444444444,-0.08262177357760568,0.6484890988137987,0.6689859562449985,1.0967407382859125,-0.2767977863669189,-0.22065384503660931,2.668842077255249,0.05154699749416775,0.2509222005142106,0.008888888888888889,0.0,1.0
1294,L58_S1294,8300.0,737557.1686746988,5322792.951807229,705.0963855421687,1344.9518072289156,1546.0963855421687,281.31325301204816,-0.43020829953343037,0.9985031894890659,0.5393488629754767,1.1987148609506078,-0.4788659678166171,-0.6545980263905353,0.0,0.0,0.10039410726672196,0.0,0.0,0.0
1295,L58_S1295,800.0,737620.0,5322850.0,890.375,1399.875,1590.0,508.25,-0.2937375335022807,0.9990458562970161,0.3015276435762644,1.2934166491031647,0.3318566894158721,-0.48068240098655224,0.0,0.0,0.1831134632229805,0.0,0.0,0.0
1296,L58_S1296,21400.0,738966.4953271028,5322793.598130841,427.98130841121497,1083.8411214953271,1381.1822429906542,194.42523364485982,-0.3758887482859264,0.9502498273537537,0.43883860125162893,0.9643348889930226,-0.2911561412788997,-0.6961181511945813,0.0,0.0,0.025712085034802695,0.0,0.0,0.0
1297,L58_S1297,24800.0,736761.8145161291,5322635.04032258,492.48790322580646,827.3306451612904,841.508064516129,3924.5685483870966,0.7661328628178565,0.16105084622939747,0.24628138923717122,0.7204422048263012,0.11828335723933583,0.6385239755374289,29.346017837524414,8.517600430596259,0.0651830144812383,97.89516129032258,89.0,112.0
1298,L58_S1298,1000.0,735532.0,5322831.0,478.5,685.6,795.7,2421.0,0.6634547114372253,0.13836131766438484,0.614492678642273,0.6532666683197021,-0.2140760041773319,0.5512735366821289,16.70003318786621,12.734461116790772,0.060975019633769986,132.1,130.0,135.0
1299,L58_S1299,25600.0,735754.140625,5322762.03125,332.5546875,579.09765625,733.640625,2041.76171875,0.6987935715005733,0.1765251586703016,0.47687756607774645,0.5484309897292405,-0.0637871092376372,0.5312790873040285,43.69307327270508,20.71570898592472,0.09362174342822982,138.92578125,110.0,163.0
1300,L58_S1300,11500.0,736320.304347826,5322763.260869565,369.2782608695652,666.2347826086957,765.1217391304348,2533.878260869565,0.7358482568160347,0.17817334422699946,0.44578025496524315,0.6002115954523501,-0.07449711943045259,0.5725574801797452,32.44266891479492,25.25203845811927,0.10407714374039484,96.03478260869565,61.0,141.0
1301,L58_S1301,9100.0,736940.8241758242,5322790.494505495,677.967032967033,947.2967032967033,985.2197802197802,3573.6373626373625,0.6876457032266554,0.25176534326849404,0.47298912916864666,0.8701611685228872,-0.12373952161275097,0.5827985215973068,49.65693283081055,24.685601737473036,0.09880961381553949,37.42857142857143,10.0,88.0
1302,L58_S1302,18600.0,737556.2365591398,5322633.655913979,1117.7903225806451,1643.0913978494623,1805.021505376344,712.0376344086021,-0.2948755835776307,0.9020073333735107,0.6371120208053178,1.5219677398281712,-0.7534132741331574,-0.4645442651830093,0.0,0.0,0.1443686961566889,0.0,0.0,0.0
1303,L58_S1303,12200.0,737956.0655737704,5322780.819672131,716.8852459016393,1433.311475409836,1645.0409836065573,243.38524590163934,-0.49318265597351263,1.0663513990699267,0.5383066605837619,1.2650792315358022,-0.5869789270103954,-0.7098149798932623,0.0,0.0,0.022696667763053395,0.0,0.0,0.0
1304,L58_S1304,8800.0,738673.6363636364,5322773.295454546,429.6136363636364,1092.159090909091,1384.0,195.86363636363637,-0.3742575811391527,0.9417107918045737,0.4396729597991163,0.9685909097844904,-0.2858129773627628,-0.6961403529752385,0.0,0.0,0.025544621389020573,0.0,0.0,0.0
1305,L58_S1305,400.0,735280.0,5322830.0,600.25,801.75,875.25,2455.25,0.6131116449832916,0.33076291531324387,0.6438895761966705,0.7590833306312561,-0.21492516808211803,0.5107822716236115,28.219430923461914,27.99929141998291,0.17377516254782677,214.0,208.0,220.0
1306,L58_S1306,8100.0,735624.3827160494,5322778.703703703,387.60493827160496,637.4938271604939,765.1234567901234,2476.617283950617,0.7225773415447753,0.07024162801925415,0.5384095038896726,0.596740738477236,-0.15518535503450734,0.5815211707427178,37.49166488647461,19.023446400960285,0.05997021526190234,130.39506172839506,115.0,159.0
1307,L58_S1307,11600.0,736448.448275862,5322761.982758621,548.2844827586207,685.4741379310345,884.75,928.8275862068965,0.24709135078792943,0.5348326580534721,0.7139084395663492,0.7061695394844845,-0.2506454228262963,0.13636972987974175,47.078521728515625,36.348349172493506,0.1900896410746821,112.74137931034483,61.0,182.0
1308,L58_S1308,26000.0,736672.4230769231,5322715.230769231,459.2346153846154,719.7576923076923,811.6576923076923,2541.992307692308,0.6918327482847068,0.2406824326285949,0.4202208750523054,0.6635500002365846,-0.036027505371580795,0.5536654699307222,35.659141540527344,24.513173979979296,0.05674661737508499,136.17307692307693,91.0,200.0
1309,L58_S1309,10600.0,737389.716981132,5322752.075471698,784.4056603773585,1321.1037735849056,1484.4716981132076,269.5188679245283,-0.48904602904364747,1.0495616591201637,0.6023778465558898,1.196660376944632,-0.44640454959194614,-0.6612969068986065,0.0,0.0,0.07009681082277927,0.0,0.0,0.0
