,segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max
0,L2_S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L2_S1,500.0,692393.0,935451.0,1318.8,1203.2,1276.6,1678.0,0.12113386988639832,-0.03584238588809967,0.3795150101184845,1.2661999702453612,0.06001836080104113,0.1646400883793831,7.515251636505127,7.515251636505127,0.061202064901590345,223.0,223.0,223.0
2,L2_S2,23200.0,692520.775862069,935394.7413793104,1115.353448275862,1081.7112068965516,1193.7974137931035,1514.6896551724137,0.152974933723052,0.01840610267328006,0.45808681318986005,1.1302873543624221,-0.0013971409081367993,0.16582206511420422,18.203208923339844,11.445969748085943,0.060436187793725525,221.08189655172413,203.0,234.0
3,L2_S3,1100.0,692580.4545454546,935439.5454545454,1038.3636363636363,1037.5454545454545,1165.1818181818182,1355.1818181818182,0.13232653858986768,-0.025614735501056366,0.3864234523339705,1.0803636420856824,0.0349713878875429,0.1322417198257013,17.918136596679688,15.805013916709207,0.05859069627794353,217.27272727272728,214.0,220.0
4,L2_S4,10300.0,692738.5922330098,935399.5631067961,1136.1553398058252,1080.1359223300972,1188.1844660194174,1499.6019417475727,0.1401296189525029,-0.0020067316787407813,0.44608072459119036,1.134825240639807,0.010854760326518003,0.1616637351588138,12.345057487487793,9.52565392707158,0.06689668609534652,240.93203883495147,226.0,252.0
5,L2_S5,9100.0,692822.5824175824,935417.967032967,1069.923076923077,1059.4065934065934,1173.4065934065934,1500.2747252747254,0.16814517143827218,0.022019176933259426,0.46608851375160637,1.1009120823262812,-0.019094245563922283,0.17013059515546966,15.812602043151855,9.081311634608678,0.07019217635740291,247.41758241758242,235.0,255.0
6,L2_S6,18700.0,692874.9465240642,935350.0802139038,1154.3101604278074,1111.9304812834225,1206.3475935828876,1627.4598930481284,0.1720069144817597,0.0024599475639170026,0.4464404154270091,1.1575294137001038,0.004470082621194701,0.18674523064637566,19.615026473999023,8.054351106684475,0.0655814630980479,253.79679144385025,231.0,264.0
7,L2_S7,11900.0,693054.5798319328,935423.2352941176,1143.9159663865546,1087.3697478991596,1189.8487394957983,1482.2941176470588,0.12964624114835463,0.009781872533983747,0.4281929971791115,1.140378151120258,0.029690751375458322,0.15279657475086822,20.739870071411133,13.508740433123933,0.06402584700649526,226.9747899159664,217.0,246.0
8,L2_S8,500.0,693093.0,935451.0,1119.2,1108.0,1192.4,1657.6,0.1943976566195488,0.0509105920791626,0.48694592118263247,1.1398666620254516,-0.039121977033209986,0.1979153037071228,8.256429672241211,8.256429672241211,0.058913763612508774,220.0,220.0,220.0
9,L2_S9,8900.0,693175.6741573034,935379.2696629213,1132.6966292134832,1071.2808988764045,1171.9213483146068,1564.8426966292134,0.16019960153806076,-0.0008577938746527528,0.42476711045490223,1.125299621833844,0.019744015168634065,0.1857137843296769,16.59177589416504,10.852721972411938,0.05996376849459798,235.04494382022472,222.0,247.0
10,L2_S10,15800.0,693260.6329113924,935401.7088607595,1215.506329113924,1112.3544303797469,1188.5822784810127,1659.8544303797469,0.15471538410911076,0.012829197396426992,0.4568658403203457,1.1721476754055749,0.0031667913758207725,0.19495026498467108,17.961076736450195,9.683398545165605,0.06574565417404417,232.5759493670886,223.0,248.0
11,L2_S11,14600.0,693408.4246575342,935398.1506849315,1306.2465753424658,1150.5958904109589,1218.7739726027398,1677.8698630136987,0.1263466646945844,-0.0014052859307462126,0.42738703709759124,1.2252054753368848,0.022885895359301175,0.1858584319483744,17.715726852416992,11.546628078369245,0.05814692742918452,236.71917808219177,229.0,254.0
12,L2_S12,19000.0,693487.4210526316,935313.2631578947,1169.5473684210526,1106.7736842105264,1195.8315789473684,1667.3105263157895,0.17568536777245372,-0.015750571931416563,0.41963309049606323,1.1573842145894704,0.039524049350706934,0.19975055048340246,19.095285415649414,13.847271620599846,0.06711214914133674,249.62105263157895,233.0,271.0
13,L2_S13,12100.0,693610.2066115702,935408.5537190082,1217.9256198347107,1139.4876033057851,1217.4462809917356,1654.1487603305786,0.1531960441430738,-0.0034485478302914156,0.4513567016144429,1.1916198296980425,0.007207893998932655,0.18391287314497734,16.058147430419922,12.694613874451187,0.05414896763183854,265.08264462809916,254.0,281.0
14,L2_S14,21000.0,693820.5238095238,935351.8095238095,1213.5809523809523,1149.9857142857143,1232.152380952381,1702.142857142857,0.16844579304701515,0.007263013955768353,0.4769466465427762,1.1985730176880247,-0.017585777892686782,0.19270837573068483,23.08057975769043,18.484515026637485,0.058225722557732035,291.7238095238095,260.0,324.0
15,L2_S15,9500.0,693903.6315789474,935400.8947368421,1212.2421052631578,1146.2842105263157,1225.421052631579,1676.578947368421,0.1602981732471993,-0.021059175584875783,0.44076167941093447,1.1946491241455077,0.0344478203633212,0.18677104664476293,26.343320846557617,20.52103301600406,0.050124917179346085,326.2315789473684,297.0,351.0
16,L2_S16,8200.0,694030.1219512195,935432.5609756098,1287.9634146341464,1149.4878048780488,1230.878048780488,1618.878048780488,0.11585464639725482,0.008522466889855156,0.4793387862240396,1.2227764129638672,0.005745825285330505,0.1689746041850346,20.436222076416016,8.368271377028488,0.04258930083455109,361.9024390243902,336.0,369.0
