,segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max
0,L1_S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L1_S1,15400.0,370396.4285714286,3551290.974025974,316.8246753246753,599.2467532467532,588.8636363636364,2983.2012987012986,0.8058077793616754,-0.22676098770341024,0.29748122500521795,0.5016450231725519,0.06067833800228651,0.6626129378746082,48.04722595214844,38.62402341272924,0.01948940423740582,2892.7727272727275,2818.0,2958.0
2,L1_S2,17400.0,370524.5977011494,3551283.4482758623,310.86206896551727,583.7298850574713,584.5574712643678,2750.614942528736,0.7944292703579212,-0.40875506090621155,0.3964744270190425,0.493049806733241,-0.014908688136874217,0.6461671542847294,49.507118225097656,41.78555341698657,0.020469938940100973,2821.6666666666665,2748.0,2903.0
3,L1_S3,17300.0,370665.34682080924,3551277.1965317917,288.4913294797688,554.7687861271677,569.4739884393064,2729.0693641618495,0.8063386251471635,-0.4415870889418387,0.3701462928270329,0.4709113688138179,0.005077746182826827,0.6586056406787365,49.73256301879883,40.27590810081173,0.020612561170851564,2810.5895953757226,2756.0,2889.0
4,L1_S4,26100.0,370833.65900383145,3551292.0881226053,308.2260536398467,547.5210727969348,581.0689655172414,2313.4291187739464,0.763427919354932,-0.2999262241876356,0.39381519622272915,0.4789386978551346,0.029470847474049395,0.6138684861504712,58.57581329345703,43.53178243527467,0.03267450471519282,2777.1609195402298,2648.0,2890.0
5,L1_S5,15600.0,371021.53846153844,3551245.0,322.62820512820514,580.0384615384615,596.724358974359,2871.9551282051284,0.7953755626311669,-0.25380306220829835,0.32851881228196317,0.4997970085495558,0.06357343456982516,0.6602670466288542,55.24904251098633,41.41309663576958,0.04191576017257877,2671.698717948718,2564.0,2763.0
6,L1_S6,15200.0,371140.65789473685,3551304.013157895,408.7236842105263,634.0986842105264,649.3815789473684,2568.3026315789475,0.7229308211489728,-0.2615996601280609,0.42868283145913955,0.5640679799804562,-0.018882897970749917,0.6009308511489316,60.7752799987793,52.16096782684326,0.06963578268493477,2545.967105263158,2437.0,2660.0
7,L1_S7,17900.0,371245.0558659218,3551218.4636871507,525.7597765363129,726.0446927374302,724.8603351955308,2440.2067039106146,0.6312231191709721,-0.06807505520315602,0.28649051046238266,0.6588882675716997,0.18771977966661726,0.5217888404370686,68.0303955078125,45.06303466365324,0.13481956306199788,2464.8268156424583,2387.0,2639.0
8,L1_S8,5400.0,371280.9259259259,3551313.703703704,365.27777777777777,619.0370370370371,633.074074074074,2893.4074074074074,0.7748960488372378,-0.18575502725111115,0.08963410403575162,0.5391296297311783,0.3478359831152139,0.6463101826332234,55.79627227783203,29.251884553167557,0.16280786493034274,2404.8518518518517,2387.0,2420.0
9,L1_S9,5500.0,371353.0,3551309.5454545454,310.72727272727275,522.4545454545455,621.8181818181819,611.4181818181818,0.26698659348555587,0.0874582356984981,0.47079799446192655,0.48500000075860455,0.11086838770319116,0.022233612048016355,13.510851860046387,5.345696930451827,0.2554569345983592,2389.4545454545455,2387.0,2393.0
